date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-03-10,146.24,Apple,-0.0139,0.6305043725275444,0.0,1,Apple market update,0.6931471805599453,18.043400693960344,4,3,1,0,1,0
2023-03-13,148.18,Apple,0.0133,0.5479060299443298,0.0,1,Apple market update,0.6931471805599453,18.251754282940666,0,3,1,1,0,0
2023-03-14,150.27,Apple,0.0141,-0.34365471884463,0.0,1,Apple market update,0.6931471805599453,18.115457738245155,1,3,1,0,0,0
2023-03-15,150.67,Apple,0.0026,0.13818843013660415,0.0,1,Apple market update,0.6931471805599453,18.16149413837487,2,3,1,0,0,0
2023-03-16,153.48,Apple,0.0187,-0.01603215689938121,0.0,0,Apple market update,0.6931471805599453,18.148361404750453,3,3,1,0,0,0
2023-03-17,152.65,Apple,-0.0055,0.6783399239989137,0.0,1,Apple market update,0.6931471805599453,18.410070665613677,4,3,1,0,1,0
2023-03-20,155.01,Apple,0.0155,-0.7660614585176617,0.0,1,Apple market update,0.6931471805599453,18.1147179391346,0,3,1,1,0,0
2023-03-21,156.86,Apple,0.0119,0.02880114845368829,0.0,0,Apple market update,0.6931471805599453,18.118741533118417,1,3,1,0,0,0
2023-03-22,155.43,Apple,-0.0091,0.08004966679212763,0.0,1,Apple market update,0.6931471805599453,18.142312509406043,2,3,1,0,0,0
2023-03-23,156.52,Apple,0.007,-0.28099390411624137,0.0,1,Apple market update,0.6931471805599453,18.029445425450476,3,3,1,0,0,0
2023-03-24,157.82,Apple,0.0083,-0.3350906438554052,0.0,0,Apple market update,0.6931471805599453,17.89637299337775,4,3,1,0,1,0
2023-03-27,155.88,Apple,-0.0123,-0.30593777730181915,0.0,0,Apple market update,0.6931471805599453,17.774232036739154,0,3,1,1,0,0
2023-03-28,155.26,Apple,-0.004,-0.3274675014651451,0.0,1,Apple market update,0.6931471805599453,17.64398239660099,1,3,1,0,0,0
2023-03-29,158.33,Apple,0.0198,0.30030326782236183,0.0,1,Apple market update,0.6931471805599453,17.753312434570738,2,3,1,0,0,0
2023-03-30,159.89,Apple,0.0099,-0.07606653617234177,-3.469446951953614e-18,1,Apple market update,0.6931471805599453,17.717517590584865,3,3,1,0,0,0
2023-03-31,162.4,Apple,0.0156,0.8386608843239628,0.0,1,Apple market update,0.6931471805599453,18.045984399961313,4,3,1,0,1,0
2023-04-03,163.65,Apple,0.0077,-0.4815561326280494,0.0,0,Apple market update,0.6931471805599453,17.858144212294654,0,4,2,1,0,0
2023-04-04,163.11,Apple,-0.0032,-0.5351606919780444,0.0,0,Apple market update,0.6931471805599453,17.650183748293486,1,4,2,0,0,0
2023-04-05,161.27,Apple,-0.0113,0.29483545699707553,0.0,1,Apple market update,0.6931471805599453,17.757319543710565,2,4,2,0,0,0
2023-04-06,162.16,Apple,0.0055,-0.31743866211619925,0.0,0,Apple market update,0.6931471805599453,17.6308045995899,3,4,2,0,0,0
2023-04-10,159.57,Apple,-0.016,0.14853486639370042,0.0,0,Apple market update,0.6931471805599453,17.680796211760818,0,4,2,1,0,0
2023-04-11,158.36,Apple,-0.0076,0.0144039585668472,0.0,0,Apple market update,0.6931471805599453,17.679271480763383,1,4,2,0,0,0
2023-04-12,157.67,Apple,-0.0044,0.15074498010893372,0.0,1,Apple market update,0.6931471805599453,17.730192046492654,2,4,2,0,0,0
2023-04-13,163.05,Apple,0.0341,0.7979862362581275,0.0,0,Apple market update,0.6931471805599453,18.041549841746082,3,4,2,0,0,0
2023-04-14,162.7,Apple,-0.0021,-0.8473480492075067,0.0,1,Apple market update,0.6931471805599453,17.715187685706766,4,4,2,0,1,0
2023-04-17,162.72,Apple,0.0001,-0.4434990169444543,0.0,1,Apple market update,0.6931471805599453,17.541594294562486,0,4,2,1,0,0
2023-04-18,163.94,Apple,0.0075,0.4887773036173036,0.0,1,Apple market update,0.6931471805599453,17.72599239640444,1,4,2,0,0,0
2023-04-19,165.08,Apple,0.007,-0.10060969182389995,0.0,0,Apple market update,0.6931471805599453,17.680865367255528,2,4,2,0,0,0
2023-04-20,164.12,Apple,-0.0058,0.2628638876087643,0.0,0,Apple market update,0.6931471805599453,17.77549292539843,3,4,2,0,0,0
2023-04-21,162.51,Apple,-0.0098,0.29255268359972586,0.0,1,Apple market update,0.6931471805599453,17.881752258049474,4,4,2,0,1,0
2023-04-24,162.82,Apple,0.0019,-0.8560151046391499,0.0,0,Apple market update,0.6931471805599453,17.551979479509253,0,4,2,1,0,0
2023-04-25,161.28,Apple,-0.0094,0.4018092107359393,0.0,0,Apple market update,0.6931471805599453,17.701479094396433,1,4,2,0,0,0
2023-04-26,161.27,Apple,-0.0001,-0.1621666074435447,0.0,1,Apple market update,0.6931471805599453,17.633196531925616,2,4,2,0,0,0
2023-04-27,165.85,Apple,0.0284,0.902081358376858,0.0,1,Apple market update,0.6931471805599453,17.988393635591276,3,4,2,0,0,0
2023-04-28,167.1,Apple,0.0075,-0.4084544547527973,0.0,0,Apple market update,0.6931471805599453,17.827847584891533,4,4,2,0,1,0
2023-05-01,167.01,Apple,-0.0005,-0.11898654579274744,0.0,0,Apple market update,0.6931471805599453,17.77580742287095,0,5,2,1,0,0
