date,volume_change,high_low_ratio,target,headline,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded,news_count_log2,close_norm,price_change_norm
2023-03-30,-0.0760665361723417,-3.469446951953614e-18,1,Apple market update,17.717517590584865,3,3,1,0,0,0,0.5265890341390445,-1.282062337088118,0.536302051343676
2023-03-31,0.8386608843239628,0.0,1,Apple market update,18.045984399961313,4,3,1,0,1,0,0.5265890341390445,-1.2216336459472363,0.8877781911174618
2023-04-03,-0.4815561326280494,0.0,0,Apple market update,17.858144212294654,0,4,2,1,0,0,0.5265890341390445,-1.1915396762555626,0.4006445938871271
2023-04-04,-0.5351606919780444,0.0,0,Apple market update,17.650183748293486,1,4,2,0,0,0,0.5265890341390445,-1.2045402711623654,-0.27147644532941073
2023-04-05,0.2948354569970755,0.0,1,Apple market update,17.757319543710565,2,4,2,0,0,0,0.5265890341390445,-1.2488385945485094,-0.770942538692159
2023-04-06,-0.3174386621161992,0.0,0,Apple market update,17.6308045995899,3,4,2,0,0,0,0.5265890341390445,-1.227411688128038,0.2649871364305781
2023-04-10,0.1485348663937004,0.0,0,Apple market update,17.680796211760818,0,4,2,1,0,0,0.5265890341390445,-1.2897663933291863,-1.0607561978038773
2023-04-11,0.0144039585668472,0.0,0,Apple market update,17.679271480763383,1,4,2,0,0,0,0.5265890341390445,-1.3188973559907262,-0.5427913602425086
2023-04-12,0.1507449801089337,0.0,1,Apple market update,17.730192046492654,2,4,2,0,0,0,0.5265890341390445,-1.3355092272605307,-0.34547142212389204
2023-04-13,0.7979862362581275,0.0,0,Apple market update,18.04154984174608,3,4,2,0,0,0,0.5265890341390445,-1.2059847817075657,2.028534083365714
2023-04-14,-0.8473480492075067,0.0,1,Apple market update,17.715187685706766,4,4,2,0,1,0,0.5265890341390445,-1.214411093221235,-0.20364771660113629
2023-04-17,-0.4434990169444543,0.0,1,Apple market update,17.541594294562486,0,4,2,1,0,0,0.5265890341390445,-1.213929589706168,-0.06799025914458738
2023-04-18,0.4887773036173036,0.0,1,Apple market update,17.72599239640444,1,4,2,0,0,0,0.5265890341390445,-1.1845578752870944,0.3883120977547135
2023-04-19,-0.1006096918238999,0.0,0,Apple market update,17.680865367255528,2,4,2,0,0,0,0.5265890341390445,-1.1571121749282873,0.3574808574236797
2023-04-20,0.2628638876087643,0.0,0,Apple market update,17.77549292539843,3,4,2,0,0,0,0.5265890341390445,-1.1802243436514932,-0.4317988950507867
2023-04-21,0.2925526835997258,0.0,1,Apple market update,17.881752258049474,4,4,2,0,1,0,0.5265890341390445,-1.2189853766143695,-0.6784488176990574
2023-04-24,-0.8560151046391499,0.0,0,Apple market update,17.551979479509253,0,4,2,1,0,0,0.5265890341390445,-1.2115220721308342,0.043002206047134464
2023-04-25,0.4018092107359393,0.0,0,Apple market update,17.701479094396433,1,4,2,0,0,0,0.5265890341390445,-1.2485978427909763,-0.6537838254342304
2023-04-26,-0.1621666074435447,0.0,1,Apple market update,17.633196531925616,2,4,2,0,0,0,0.5265890341390445,-1.2488385945485094,-0.08032275527700092
2023-04-27,0.902081358376858,0.0,1,Apple market update,17.988393635591276,3,4,2,0,0,0,0.5265890341390445,-1.1385742895982167,1.6770579435919282
2023-04-28,-0.4084544547527973,0.0,0,Apple market update,17.827847584891533,4,4,2,0,1,0,0.5265890341390445,-1.108480319906543,0.3883120977547135
2023-05-01,-0.1189865457927474,0.0,0,Apple market update,17.77580742287095,0,5,2,1,0,0,0.5265890341390445,-1.1106470857243436,-0.10498774754182799
2023-05-02,-0.1940014129327652,0.0,0,Apple market update,17.695541243146362,1,5,2,0,0,0,0.5265890341390445,-1.1354445167502827,-0.4564638873156138
2023-05-03,0.7622901218174795,0.0,0,Apple market update,17.99198796507739,2,5,2,0,0,0,0.5265890341390445,-1.1612049548063554,-0.4749626315142341
2023-05-04,0.5788622872123724,0.0,1,Apple market update,18.212861683029736,3,5,2,0,0,0,0.5265890341390445,-1.2006882430418313,-0.6846150657652643
2023-05-05,0.8519643675899414,0.0,0,Apple market update,18.54690098386481,4,5,2,0,1,0,0.5265890341390445,-1.016272396771254,2.8178138358401803
2023-05-08,-1.76743700046808,0.0,0,Apple market update,17.840197760118635,0,5,2,1,0,0,0.5265890341390445,-1.0179576590739874,-0.09882149947562123
2023-05-09,-0.5427102114283452,0.0,1,Apple market update,17.629411255259036,1,5,2,0,0,0,0.5265890341390445,-1.0588854578546643,-0.690781313831471
2023-05-10,0.4529477413555116,0.0,1,Apple market update,17.799379712408765,2,5,2,0,0,0,0.5265890341390445,-1.0165131485287877,0.5671332916747098
2023-05-11,-0.1977578357181651,0.0,0,Apple market update,17.717780173345137,3,5,2,0,0,0,0.5265890341390445,-1.0119388651356527,-0.006327778482519687
2023-05-12,-0.2035484360554552,0.0,0,Apple market update,17.63395011393082,4,5,2,0,1,0,0.5265890341390445,-1.0343287785862583,-0.4071339027859597
2023-05-15,-0.5145786001181636,0.0,0,Apple market update,17.43361075130475,0,5,2,1,0,0,0.5265890341390445,-1.0461256147053946,-0.25297770113079043
2023-05-17,0.8169644502051043,0.0,1,Apple market update,17.87511875463329,2,5,2,0,0,0,0.5265890341390445,-1.0314397574958574,0.14782842317264952
2023-05-18,0.3334636265334269,0.0,1,Apple market update,17.997510332924836,3,5,2,0,0,0,0.5265890341390445,-0.9753445979905776,0.7706194778595332
2023-05-19,-0.4071997530463045,0.0,0,Apple market update,17.837454681674654,4,5,2,0,1,0,0.5265890341390445,-0.97269632865771,-0.03715901881355354
2023-05-22,-0.6402086712127787,-3.469446951953614e-18,0,Apple market update,17.589900077246348,0,5,2,1,0,0,0.5265890341390445,-0.9955677456233826,-0.4133001508521664
2023-05-23,0.4091368633423349,0.0,1,Apple market update,17.742368992205932,1,5,2,0,0,0,0.5265890341390445,-1.0581632025820642,-1.0114262132742229
2023-05-24,-0.2920835761034208,0.0,1,Apple market update,17.62535688505239,2,5,2,0,0,0,0.5265890341390445,-1.0516629051286623,0.02450346184851416
2023-05-25,0.5682038154391545,0.0,1,Apple market update,17.84190279642753,3,5,2,0,0,0,0.5265890341390445,-1.0242172047698561,0.3389821132250594
2023-05-26,-0.0396275059009279,0.0,1,Apple market update,17.819839252412972,4,5,2,0,1,0,0.5265890341390445,-0.9664367829618421,0.7952844701243603
2023-05-30,0.0716410271632076,0.0,0,Apple market update,17.840226350130205,1,5,2,0,0,0,0.5265890341390445,-0.9218977078181649,0.5856320358733301
2023-05-31,1.4076001446236523,0.0,1,Apple market update,18.416926716400077,2,5,2,0,0,0,0.5265890341390445,-0.9231014666058315,-0.09265525140941445
2023-06-01,-0.9568345487304192,0.0,1,Apple market update,18.048192874974628,3,6,2,0,0,0,0.5265890341390445,-0.8556909744964823,0.9124431833822889
2023-06-02,-0.2616283116950996,0.0,0,Apple market update,17.942594957889163,4,6,2,0,1,0,0.5265890341390445,-0.8352270751061442,0.2218233999671307
2023-06-05,1.624648442995066,0.0,0,Apple market update,18.61909299012766,0,6,2,1,0,0,0.5265890341390445,-0.8677285623731519,-0.5427913602425086
2023-06-06,-1.5984165156620522,0.0,0,Apple market update,17.9875628115222,1,6,2,0,0,0,0.5265890341390445,-0.8766363774018875,-0.20364771660113629
2023-06-07,-0.1025516276307518,0.0,1,Apple market update,17.941751011313396,2,6,2,0,0,0,0.5265890341390445,-0.9096193681839615,-0.5551238563749221
2023-06-08,-0.5404105245504198,0.0,1,Apple market update,17.73182237328518,3,6,2,0,0,0,0.5265890341390445,-0.844375641892413,0.8816119430512551
2023-06-09,-0.0515246168258259,0.0,1,Apple market update,17.705287974894997,4,6,2,0,1,0,0.5265890341390445,-0.8349863233486104,0.061500950245754776
2023-06-12,0.2875211892277768,0.0,0,Apple market update,17.809572449682747,0,6,2,1,0,0,0.5265890341390445,-0.7678165829967946,0.8877781911174618
2023-06-13,0.0498188907916692,0.0,1,Apple market update,17.821553838900513,1,6,2,0,0,0,0.5265890341390445,-0.7791319156008639,-0.23447895693217016
2023-06-14,0.1357170502718312,0.0,1,Apple market update,17.866650097536485,2,6,2,0,0,0,0.5265890341390445,-0.7639645548762604,0.14166217510644277
2023-06-15,0.3523835835090155,0.0,0,Apple market update,17.99654034816186,3,6,2,0,0,0,0.5265890341390445,-0.715091948096982,0.616463276204364
2023-06-16,1.091784880630686,0.0,1,Apple market update,18.433164506520004,4,6,2,0,1,0,0.5265890341390445,-0.7410931379105878,-0.4379651431169935
2023-06-20,-1.7741373145303383,0.0,0,Apple market update,17.723507489623103,1,6,2,0,0,0,0.5265890341390445,-0.7389263720927879,-0.0433252668797603
2023-06-21,0.0033404420452844,0.0,1,Apple market update,17.71780036916339,2,6,2,0,0,0,0.5265890341390445,-0.7637238031187272,-0.42563264698458003
2023-06-22,0.107826359145205,0.0,0,Apple market update,17.75213448397433,3,6,2,0,0,0,0.5265890341390445,-0.6917390276162431,0.9432744237133228
2023-06-23,0.111834674995679,0.0,0,Apple market update,17.78800760446038,4,6,2,0,1,0,0.5265890341390445,-0.6992023320997782,-0.1789827243363092
2023-06-26,-0.2453576152744505,0.0,1,Apple market update,17.688557801036243,0,6,2,1,0,0,0.5265890341390445,-0.7326668263969193,-0.5427913602425086
2023-06-27,0.157360624355263,0.0,1,Apple market update,17.742043798891906,1,6,2,0,0,0,0.5265890341390445,-0.6664600930752367,0.856946950786428
2023-06-28,0.0433552964459615,0.0,1,Apple market update,17.751578180713345,2,6,2,0,0,0,0.5265890341390445,-0.6382921374438303,0.3143171209602323
2023-06-29,-0.2465373701058125,-3.469446951953614e-18,1,Apple market update,17.651673617428443,3,6,2,0,0,0,0.5265890341390445,-0.630106577687695,0.03683595798092769
2023-06-30,1.478520079564861,0.0,0,Apple market update,18.260666921111937,4,6,2,0,1,0,0.5265890341390445,-0.5261018184332702,1.3502467960829694
2023-07-03,-2.3512739207417206,0.0,0,Apple market update,17.26417027023399,0,7,3,1,0,0,0.5265890341390445,-0.561973830305745,-0.5551238563749221
2023-07-05,1.0064740109796906,0.0,1,Apple market update,17.663960996903736,2,7,3,0,0,0,0.5265890341390445,-0.5889380271494848,-0.4379651431169935
2023-07-06,-0.086236748169737,0.0,0,Apple market update,17.624266432851986,3,7,3,0,0,0,0.5265890341390445,-0.5773819427878824,0.07999969444437507
2023-07-07,0.116084719073815,0.0,0,Apple market update,17.661714243715803,4,7,3,0,1,0,0.5265890341390445,-0.6043461396316222,-0.4379651431169935
2023-07-10,0.6423403244084906,0.0,0,Apple market update,17.90855762880837,0,7,3,1,0,0,0.5265890341390445,-0.6534594981684338,-0.7462775464273319
2023-07-11,-0.6483588685713187,0.0,1,Apple market update,17.657928383054088,1,7,3,0,0,0,0.5265890341390445,-0.6659785895601704,-0.24681145306458366
2023-07-12,0.6848622448257744,0.0,1,Apple market update,17.922280948821435,2,7,3,0,0,0,0.5265890341390445,-0.6257730460520937,0.48080581874781503
2023-07-13,-0.9983179577167952,-3.469446951953614e-18,1,Apple market update,17.537396771046275,3,7,3,0,0,0,0.5265890341390445,-0.6074759124795562,0.1786596635036834
2023-07-14,0.0355715025355934,0.0,1,Apple market update,17.54400009653203,4,7,3,0,1,0,0.5265890341390445,-0.6041053878740884,-0.024826522681139995
2023-07-17,0.5123640845060393,0.0,0,Apple market update,17.737883834060977,0,7,3,1,0,0,0.5265890341390445,-0.5256203149182032,0.9926044082429768
2023-07-18,-0.1008870077857047,0.0,1,Apple market update,17.6926978030659,1,7,3,0,0,0,0.5265890341390445,-0.5318798606140711,-0.15431773207148217
2023-07-19,1.261394007936746,0.0,0,Apple market update,18.203858433928364,2,7,3,0,0,0,0.5265890341390445,-0.4993783733470635,0.36364710548988644
2023-07-20,-0.7808927165227336,0.0,0,Apple market update,17.902850662817308,3,7,3,0,0,0,0.5265890341390445,-0.5460842143085413,-0.6969475618976777
2023-07-21,0.4992735063888848,0.0,1,Apple market update,18.091505632435847,4,7,3,0,1,0,0.5265890341390445,-0.5742521699399483,-0.4564638873156138
2023-07-24,-1.1900550212786447,0.0,1,Apple market update,17.630533578671617,0,7,3,1,0,0,0.5265890341390445,-0.5549920293372769,0.18482591156989012
2023-07-25,-0.5045030374179372,0.0,1,Apple market update,17.43405340782949,1,7,3,0,0,0,0.5265890341390445,-0.5345281299469388,0.20332465576851041
2023-07-26,0.6295466024082965,0.0,0,Apple market update,17.675648536070728,2,7,3,0,0,0,0.5265890341390445,-0.5135827270415336,0.20332465576851041
2023-07-27,0.017816203418992,0.0,1,Apple market update,17.67540204410831,3,7,3,0,0,0,0.5265890341390445,-0.5439174484907406,-0.4811288795804409
2023-07-28,0.063709788363681,0.0,1,Apple market update,17.692764069646728,4,7,3,0,1,0,0.5265890341390445,-0.48204424680465935,0.7582869817271197
2023-07-31,-0.5621631149792087,-3.469446951953614e-18,0,Apple market update,17.474551771547425,0,7,3,1,0,0,0.5265890341390445,-0.4673583895951228,0.12316343090782247
2023-08-01,-0.2432943905131308,-3.469446951953614e-18,0,Apple market update,17.375849032318104,1,8,3,0,0,0,0.5265890341390445,-0.48710003371286076,-0.33930517405768523
2023-08-02,0.9119741227581408,0.0,0,Apple market update,17.735289428760606,2,8,3,0,0,0,0.5265890341390445,-0.5590848092153449,-1.0299249574728433
2023-08-03,0.5148085957349819,0.0,0,Apple market update,17.930232761868652,3,8,3,0,0,0,0.5265890341390445,-0.5925493035124859,-0.5242926160438883
2023-08-04,1.542687294338488,0.0,0,Apple market update,18.5687282745382,4,8,3,0,1,0,0.5265890341390445,-0.8106703958377381,-3.033955578990043
2023-08-07,-0.4406412557704361,0.0,1,Apple market update,18.396143154595272,0,8,3,1,0,0,0.5265890341390445,-0.8850626889155561,-1.1409174226645653
2023-08-08,-0.9438484681462116,0.0,0,Apple market update,18.03241194316671,1,8,3,0,0,0,0.5265890341390445,-0.8626727754649505,0.2526546402981646
2023-08-09,-0.29028198640524,0.0,0,Apple market update,17.916143655833437,2,8,3,0,0,0,0.5265890341390445,-0.9007115531552266,-0.6291188331694033
2023-08-10,-0.2441784199153934,0.0,1,Apple market update,17.817134768879264,3,8,3,0,0,0,0.5265890341390445,-0.9060080918209612,-0.14815148400527536
2023-08-11,-0.1128442234395074,0.0,1,Apple market update,17.767459816055695,4,8,3,0,1,0,0.5265890341390445,-0.9045635812757608,-0.055657763012173844
2023-08-14,-0.447631980998068,0.0,0,Apple market update,17.5923001746224,0,8,3,1,0,0,0.5265890341390445,-0.8648395412827511,0.5054708110126422
2023-08-15,0.0151919103786582,0.0,0,Apple market update,17.59108594557077,1,8,3,0,0,0,0.5265890341390445,-0.9127491410318961,-0.7647762906259522
2023-08-16,0.209744682897674,0.0,0,Apple market update,17.6649110934558,2,8,3,0,0,0,0.5265890341390445,-0.9336945439373006,-0.38246891052113263
2023-08-17,0.8688796974001811,0.0,1,Apple market update,18.00611789158577,3,8,3,0,0,0,0.5265890341390445,-0.9946047385932485,-0.9744287248769824
2023-08-18,-0.1850675179665069,0.0,1,Apple market update,17.929203412261792,4,8,3,0,1,0,0.5265890341390445,-0.983048654231646,0.09849843864299539
2023-08-21,-0.7212574915725177,0.0,1,Apple market update,17.650909527063792,0,8,3,1,0,0,0.5265890341390445,-0.9510286704797054,0.4006445938871271
2023-08-22,-0.2382908330705837,0.0,1,Apple market update,17.55410596186158,1,8,3,0,0,0,0.5265890341390445,-0.9178049279400968,0.41297709001954064
2023-08-23,0.5923945899450231,0.0,0,Apple market update,17.780558576489224,2,8,3,0,0,0,0.5265890341390445,-0.8253562530472747,1.2762518192884882
2023-08-24,0.1260492844758621,0.0,1,Apple market update,17.821857820971477,3,8,3,0,0,0,0.5265890341390445,-0.9380280755729018,-1.6897135005569677
2023-08-25,-0.1553396514002992,0.0,1,Apple market update,17.75611326511222,4,8,3,0,1,0,0.5265890341390445,-0.8850626889155561,0.7027907491312588
2023-08-28,-0.4084544547527973,0.0,1,Apple market update,17.595616889265163,0,8,3,1,0,0,0.5265890341390445,-0.847505414740347,0.46847332261540153
2023-08-29,0.5033739684303682,0.0,1,Apple market update,17.785876072581356,1,8,3,0,0,0,0.5265890341390445,-0.7540937328173914,1.2700855712222814
2023-08-30,0.371340451908524,0.0,1,Apple market update,17.92332895567185,2,8,3,0,0,0,0.5265890341390445,-0.6700713694382378,1.1097631215009054
2023-08-31,0.0175539273043284,0.0,1,Apple market update,17.923009898767134,3,8,3,0,0,0,0.5265890341390445,-0.6650155825300363,-0.00016153041631292815
2023-09-01,-0.7362423660173624,0.0,1,Apple market update,17.639062962252904,4,9,3,0,1,0,0.5265890341390445,-0.6272175565972942,0.44997457841678123
2023-09-05,-0.0096430118357682,0.0,0,Apple market update,17.628376013944006,1,9,3,0,0,0,0.5265890341390445,-0.6214395144164925,0.006004717649893843
2023-09-06,1.4388112035190326,0.0,0,Apple market update,18.219247325468725,2,9,3,0,0,0,0.5265890341390445,-0.782983943721398,-2.281673314912817
2023-09-07,0.8164447282829316,0.0,1,Apple market update,18.538364227986985,3,9,3,0,0,0,0.5265890341390445,-0.9101008716990285,-1.8747009425431709
2023-09-08,-1.3836343325728848,0.0,1,Apple market update,17.998343615421724,4,9,3,0,1,0,0.5265890341390445,-0.895415014489492,0.14166217510644277
2023-09-11,-0.2631127164365094,0.0,0,Apple market update,17.89225278746573,0,9,3,1,0,0,0.5265890341390445,-0.8672470588580848,0.3328158651588526
2023-09-12,1.0699338340055906,0.0,0,Apple market update,18.31942513606511,1,9,3,0,0,0,0.5265890341390445,-0.9399540896331692,-1.1285849265321517
2023-09-13,-0.1664436012771079,0.0,1,Apple market update,18.249511579404626,2,9,3,0,0,0,0.5265890341390445,-0.989789703442581,-0.8079400270893997
2023-09-14,-0.8433826994684174,0.0,0,Apple market update,17.924674781206146,3,9,3,0,0,0,0.5265890341390445,-0.9534361880550392,0.46847332261540153
2023-09-15,1.4248740496104024,0.0,1,Apple market update,18.509236353833735,4,9,3,0,1,0,0.5265890341390445,-0.9707703145974432,-0.33313892599147843
2023-09-18,-1.2500191200451625,0.0,1,Apple market update,18.02404059608157,0,9,3,1,0,0,0.5265890341390445,-0.9002300496401595,0.9679394159781496
2023-09-19,-0.6746479715017413,0.0,0,Apple market update,17.763419896751827,1,9,3,0,0,0,0.5265890341390445,-0.8742288598265531,0.3081508728940255
2023-09-20,0.3274150644261726,0.0,0,Apple market update,17.88344613588911,2,9,3,0,0,0,0.5265890341390445,-0.9592142302358401,-1.307406120452148
2023-09-21,0.2194882630178055,0.0,1,Apple market update,17.961009170713282,3,9,3,0,0,0,0.5265890341390445,-0.9962900008959827,-0.6229525851031965
2023-09-22,-0.2660841528417018,0.0,1,Apple market update,17.85373265779867,4,9,3,0,1,0,0.5265890341390445,-0.975826101505644,0.22798964803333752
2023-09-25,-0.5292655936428404,0.0,0,Apple market update,17.64789929396329,0,9,3,1,0,0,0.5265890341390445,-0.9452506282989038,0.3821458496885068
2023-09-26,0.8558687869592927,0.0,0,Apple market update,17.983553142846095,1,9,3,0,0,0,0.5265890341390445,-1.0432365936149937,-1.5170585547031783
2023-09-27,0.1108333494159203,0.0,1,Apple market update,18.019035346452377,2,9,3,0,0,0,0.5265890341390445,-1.0795901090025355,-0.6229525851031965
2023-09-28,-0.4415935227321901,0.0,1,Apple market update,17.84610563878617,3,9,3,0,0,0,0.5265890341390445,-1.0733305633066677,0.018337213782307387
2023-09-29,-0.1989148415883689,0.0,1,Apple market update,17.764079568084682,4,9,3,0,1,0,0.5265890341390445,-1.0610522236724649,0.11083093477540892
2023-10-02,0.0337509499650935,0.0,0,Apple market update,17.76991276403763,0,10,4,1,0,0,0.5265890341390445,-1.0006235325315833,0.8384482065878077
2023-10-03,-0.1150758615149881,0.0,1,Apple market update,17.719392534964026,1,10,4,0,0,0,0.5265890341390445,-1.0326435162835246,-0.5551238563749221
2023-10-04,0.1917957968964663,0.0,1,Apple market update,17.786185435912017,2,10,4,0,0,0,0.5265890341390445,-1.002790298349384,0.3759796016223
2023-10-05,-0.2160454142628845,0.0,1,Apple market update,17.69764946884907,3,10,4,0,0,0,0.5265890341390445,-0.9731778321727771,0.3698133535560932
2023-10-06,0.441982453730511,0.0,1,Apple market update,17.863229878380483,4,10,4,0,1,0,0.5265890341390445,-0.9117861340017621,0.8384482065878077
2023-10-09,-0.7805388440847134,0.0,0,Apple market update,17.562441939116322,0,10,4,1,0,0,0.5265890341390445,-0.8761548738868205,0.44997457841678123
2023-10-10,0.0975182250992397,0.0,1,Apple market update,17.59281291531245,1,10,4,0,0,0,0.5265890341390445,-0.8903592275812906,-0.2838089414618243
2023-10-11,0.2371883090878876,0.0,1,Apple market update,17.67731550126174,2,10,4,0,0,0,0.5265890341390445,-0.8568947332841489,0.41297709001954064
2023-10-12,0.4696960390738742,0.0,0,Apple market update,17.854044638653825,3,10,4,0,0,0,0.5265890341390445,-0.8352270751061442,0.24032214416575107
2023-10-13,-0.2424106757540281,0.0,0,Apple market update,17.7556758482837,4,10,4,0,1,0,0.5265890341390445,-0.8792846467347545,-0.7092800580300913
2023-10-16,0.0731724937827654,0.0,0,Apple market update,17.776647503712127,0,10,4,1,0,0,0.5265890341390445,-0.8824144195826884,-0.11732024367424153
2023-10-17,0.254963541798794,0.0,0,Apple market update,17.868154284737425,1,10,4,0,0,0,0.5265890341390445,-0.9197309420003643,-0.6167863370369898
